Title: ,KH03 Returns,,,
01/06/2017,RXX,Surrey And Borders Partnership,202,181
01/06/2017,RXY,Kent And Medway NHS And Social Care Partnership Trust,488,448
01/06/2017,RY3,Norfolk Community Health And Care,NA,NA
01/06/2017,RY5,Lincolnshire Community Health Services,NA,NA
01/06/2017,RY6,Leeds Community Healthcare,8,7
01/06/2017,RY8,Derbyshire Community Health Services,45,35
01/06/2017,RYG,Coventry And Warwickshire Partnership,235,215
01/06/2017,RYJ,Imperial College Healthcare,NA,NA
01/06/2017,RYK,Dudley And Walsall Mental Health Partnership,171,144
01/06/2017,RYR,Western Sussex Hospitals,NA,NA
01/06/2017,RYV,Cambridgeshire Community Services,NA,NA
01/06/2017,RYW,Birmingham Community Healthcare,NA,NA
01/06/2017,RYX,Central London Community Healthcare,NA,NA
01/06/2017,TAD,Bradford District Care,200,173
01/06/2017,TAF,Camden And Islington,190,180
01/06/2017,TAH,Sheffield Health & Social Care,150,135
01/06/2017,TAJ,Black Country Partnership,157,125
01/09/2017,R1A,Worcestershire Health And Care,120,99
01/09/2017,R1C,Solent,66,51
01/09/2017,R1E,Staffordshire And Stoke On Trent Partnership,NA,NA
01/09/2017,R1F,Isle Of Wight,52,41
01/09/2017,R1H,Barts Health,NA,NA
01/09/2017,R1J,Gloucestershire Care Services,NA,NA
01/09/2017,R1K,London North West University Healthcare,NA,NA
01/09/2017,R1L,Essex Partnership University,691,640
01/09/2017,RA2,Royal Surrey County Hospital,NA,NA
01/09/2017,RA3,Weston Area Health,NA,NA
01/09/2017,RA4,Yeovil District Hospital,NA,NA
01/09/2017,RA7,University Hospitals Bristol,NA,NA
01/09/2017,RA9,Torbay And South Devon,NA,NA
01/09/2017,RAE,Bradford Teaching Hospitals,NA,NA
01/09/2017,RAJ,Southend University Hospital,NA,NA
01/09/2017,RAL,Royal Free London,6,0
01/09/2017,RAN,Royal National Orthopaedic Hospital,NA,NA
01/09/2017,RAP,North Middlesex University Hospital,NA,NA
01/09/2017,RAS,The Hillingdon Hospitals,NA,NA
01/09/2017,RAT,North East London,212,175
01/09/2017,RAX,Kingston Hospital,NA,NA
01/09/2017,RBA,Taunton And Somerset,NA,NA
01/09/2017,RBD,Dorset County Hospital,NA,NA
01/09/2017,RBK,Walsall Healthcare,NA,NA
01/09/2017,RBL,Wirral University Teaching Hospital,NA,NA
01/09/2017,RBN,St Helens And Knowsley Hospital Services,NA,NA
01/09/2017,RBQ,Liverpool Heart And Chest Hospital,NA,NA
01/09/2017,RBS,Alder Hey Children's,7,5
01/09/2017,RBT,Mid Cheshire Hospitals,NA,NA
01/09/2017,RBV,The Christie,NA,NA
01/09/2017,RBZ,Northern Devon Healthcare,NA,NA
01/09/2017,RC1,Bedford Hospital,NA,NA
01/09/2017,RC9,Luton And Dunstable University Hospital,NA,NA
01/09/2017,RCB,York Teaching Hospital,NA,NA
01/09/2017,RCD,Harrogate And District,NA,NA
01/09/2017,RCF,Airedale,NA,NA
01/09/2017,RCU,Sheffield Children's,24,13
01/09/2017,RCX,"The Queen Elizabeth Hospital, King's Lynn,",NA,NA
01/09/2017,RD1,Royal United Hospitals Bath,NA,NA
01/09/2017,RD3,Poole Hospital,NA,NA
01/09/2017,RD8,Milton Keynes University Hospital,NA,NA
01/09/2017,RDD,Basildon And Thurrock University Hospitals,NA,NA
01/09/2017,RDE,Colchester Hospital University,NA,NA
01/09/2017,RDR,Sussex Community,NA,NA
01/09/2017,RDU,Frimley Health,NA,NA
01/09/2017,RDY,Dorset Healthcare University,229,215
01/09/2017,RDZ,The Royal Bournemouth And Christchurch Hospitals,NA,NA
01/09/2017,RE9,South Tyneside,NA,NA
01/09/2017,REF,Royal Cornwall Hospitals,NA,NA
01/09/2017,REM,Aintree University Hospital,NA,NA
01/09/2017,REN,The Clatterbridge Cancer Centre,NA,NA
01/09/2017,REP,Liverpool Women's,NA,NA
01/09/2017,RET,The Walton Centre,NA,NA
01/09/2017,RF4,"Barking, Havering And Redbridge University Hospitals",NA,NA
01/09/2017,RFF,Barnsley Hospital,NA,NA
01/09/2017,RFR,The Rotherham,NA,NA
01/09/2017,RFS,Chesterfield Royal Hospital,NA,NA
01/09/2017,RGD,Leeds And York Partnership,379,342
01/09/2017,RGM,Royal Papworth Hospital,NA,NA
01/09/2017,RGN,North West Anglia,NA,NA
01/09/2017,RGP,James Paget University Hospitals,NA,NA
01/09/2017,RGQ,Ipswich Hospital,NA,NA
01/09/2017,RGR,West Suffolk,NA,NA
01/09/2017,RGT,Cambridge University Hospitals,NA,NA
01/09/2017,RH5,Somerset Partnership,131,120
01/09/2017,RH8,Royal Devon And Exeter,NA,NA
01/09/2017,RHA,Nottinghamshire Healthcare,850,788
01/09/2017,RHM,University Hospital Southampton,NA,NA
01/09/2017,RHQ,Sheffield Teaching Hospitals,NA,NA
01/09/2017,RHU,Portsmouth Hospitals,NA,NA
01/09/2017,RHW,Royal Berkshire,NA,NA
01/09/2017,RJ1,Guy's And St Thomas',NA,NA
01/09/2017,RJ2,Lewisham And Greenwich,NA,NA
01/09/2017,RJ6,Croydon Health Services,NA,NA
01/09/2017,RJ7,St George's University Hospitals,NA,NA
01/09/2017,RJ8,Cornwall Partnership,115,105
01/09/2017,RJC,South Warwickshire,NA,NA
01/09/2017,RJE,University Hospitals Of North Midlands,NA,NA
01/09/2017,RJF,Burton Hospitals,NA,NA
01/09/2017,RJL,Northern Lincolnshire And Goole,NA,NA
01/09/2017,RJN,East Cheshire,NA,NA
01/09/2017,RJR,Countess Of Chester Hospital,NA,NA
01/09/2017,RJZ,King's College Hospital,NA,NA
01/09/2017,RK5,Sherwood Forest Hospitals,NA,NA
01/09/2017,RK9,Plymouth Hospitals,NA,NA
01/09/2017,RKB,University Hospitals Coventry And Warwickshire,NA,NA
01/09/2017,RKE,Whittington Health,12,11
01/09/2017,RKL,West London Mental Health,743,677
01/09/2017,RL1,The Robert Jones And Agnes Hunt Orthopaedic Hospital,NA,NA
01/09/2017,RL4,The Royal Wolverhampton,NA,NA
01/09/2017,RLN,City Hospitals Sunderland,NA,NA
01/09/2017,RLQ,Wye Valley,NA,NA
01/09/2017,RLT,George Eliot Hospital,NA,NA
01/09/2017,RLY,North Staffordshire Combined Healthcare,172,153
01/09/2017,RM1,Norfolk And Norwich University Hospitals,NA,NA
01/09/2017,RM2,University Hospital Of South Manchester,NA,NA
01/09/2017,RM3,Salford Royal,NA,NA
01/09/2017,RMC,Bolton,NA,NA
01/09/2017,RMP,Tameside And Glossop Integrated Care,NA,NA
01/09/2017,RMY,Norfolk And Suffolk,399,348
01/09/2017,RN3,Great Western Hospitals,NA,NA
01/09/2017,RN5,Hampshire Hospitals,NA,NA
01/09/2017,RN7,Dartford And Gravesham,NA,NA
01/09/2017,RNA,The Dudley Group,NA,NA
01/09/2017,RNL,North Cumbria University Hospitals,NA,NA
01/09/2017,RNN,Cumbria Partnership,136,119
01/09/2017,RNQ,Kettering General Hospital,NA,NA
01/09/2017,RNS,Northampton General Hospital,NA,NA
01/09/2017,RNU,Oxford Health,395,344
01/09/2017,RNZ,Salisbury,NA,NA
01/09/2017,RP1,Northamptonshire Healthcare,183,172
01/09/2017,RP4,Great Ormond Street Hospital For Children,7,6
01/09/2017,RP5,Doncaster And Bassetlaw Teaching Hospitals,NA,NA
01/09/2017,RP6,Moorfields Eye Hospital,NA,NA
01/09/2017,RP7,Lincolnshire Partnership,247,207
01/09/2017,RPA,Medway,NA,NA
01/09/2017,RPC,Queen Victoria Hospital,NA,NA
01/09/2017,RPG,Oxleas,413,370
01/09/2017,RPY,The Royal Marsden,NA,NA
01/09/2017,RQ3,Birmingham Women's And Children's,33,27
01/09/2017,RQ6,Royal Liverpool And Broadgreen University Hospitals,NA,NA
01/09/2017,RQ8,Mid Essex Hospital Services,NA,NA
01/09/2017,RQM,Chelsea And Westminster Hospital,NA,NA
01/09/2017,RQW,The Princess Alexandra Hospital,NA,NA
01/09/2017,RQX,Homerton University Hospital,NA,NA
01/09/2017,RQY,South West London And St George's Mental Health,414,364
01/09/2017,RR1,Heart Of England,NA,NA
01/09/2017,RR7,Gateshead Health,34,27
01/09/2017,RR8,Leeds Teaching Hospitals,NA,NA
01/09/2017,RRE,South Staffordshire And Shropshire Healthcare,314,278
01/09/2017,RRF,"Wrightington, Wigan And Leigh",NA,NA
01/09/2017,RRJ,The Royal Orthopaedic Hospital,NA,NA
01/09/2017,RRK,University Hospitals Birmingham,NA,NA
01/09/2017,RRP,"Barnet, Enfield And Haringey Mental Health",481,477
01/09/2017,RRV,University College London Hospitals,12,6
01/09/2017,RT1,Cambridgeshire And Peterborough,226,195
01/09/2017,RT2,Pennine Care,524,461
01/09/2017,RT3,Royal Brompton & Harefield,NA,NA
01/09/2017,RTD,The Newcastle Upon Tyne Hospitals,NA,NA
01/09/2017,RTE,Gloucestershire Hospitals,NA,NA
01/09/2017,RTF,Northumbria Healthcare,42,17
01/09/2017,RTG,Derby Teaching Hospitals,NA,NA
01/09/2017,RTH,Oxford University Hospitals,NA,NA
01/09/2017,RTK,Ashford And St Peter's Hospitals,NA,NA
01/09/2017,RTP,Surrey And Sussex Healthcare,NA,NA
01/09/2017,RTQ,2gether,208,187
01/09/2017,RTR,South Tees Hospitals,NA,NA
01/09/2017,RTV,North West Boroughs Healthcare,311,281
01/09/2017,RTX,University Hospitals Of Morecambe Bay,NA,NA
01/09/2017,RV3,Central And North West London,748,701
01/09/2017,RV9,Humber,193,166
01/09/2017,RVJ,North Bristol,11,5
01/09/2017,RVN,Avon And Wiltshire Mental Health Partnership,533,465
01/09/2017,RVR,Epsom And St Helier University Hospitals,NA,NA
01/09/2017,RVV,East Kent Hospitals University,NA,NA
01/09/2017,RVW,North Tees And Hartlepool,NA,NA
01/09/2017,RVY,Southport And Ormskirk Hospital,NA,NA
01/09/2017,RW1,Southern Health,517,409
01/09/2017,RW3,Central Manchester University Hospitals,13,11
01/09/2017,RW4,Mersey Care,597,542
01/09/2017,RW5,Lancashire Care,515,489
01/09/2017,RW6,Pennine Acute Hospitals,NA,NA
01/09/2017,RWA,Hull And East Yorkshire Hospitals,NA,NA
01/09/2017,RWD,United Lincolnshire Hospitals,NA,NA
01/09/2017,RWE,University Hospitals Of Leicester,NA,NA
01/09/2017,RWF,Maidstone And Tunbridge Wells,NA,NA
01/09/2017,RWG,West Hertfordshire Hospitals,NA,NA
01/09/2017,RWH,East And North Hertfordshire,NA,NA
01/09/2017,RWJ,Stockport,NA,NA
01/09/2017,RWK,East London,885,751
01/09/2017,RWP,Worcestershire Acute Hospitals,NA,NA
01/09/2017,RWV,Devon Partnership,277,272
01/09/2017,RWW,Warrington And Halton Hospitals,NA,NA
01/09/2017,RWX,Berkshire Healthcare,148,129
01/09/2017,RWY,Calderdale And Huddersfield,NA,NA
01/09/2017,RX1,Nottingham University Hospitals,NA,NA
01/09/2017,RX2,Sussex Partnership,575,563
01/09/2017,RX3,"Tees, Esk And Wear Valleys",763,665
01/09/2017,RX4,"Northumberland, Tyne And Wear",607,535
01/09/2017,RXA,Cheshire And Wirral Partnership,275,247
01/09/2017,RXC,East Sussex Healthcare,NA,NA
01/09/2017,RXE,Rotherham Doncaster And South Humber,294,228
01/09/2017,RXF,Mid Yorkshire Hospitals,NA,NA
01/09/2017,RXG,South West Yorkshire Partnership,433,361
01/09/2017,RXH,Brighton And Sussex University Hospitals,NA,NA
01/09/2017,RXK,Sandwell And West Birmingham Hospitals,NA,NA
01/09/2017,RXL,Blackpool Teaching Hospitals,NA,NA
01/09/2017,RXM,Derbyshire Healthcare,271,241
01/09/2017,RXN,Lancashire Teaching Hospitals,NA,NA
01/09/2017,RXP,County Durham And Darlington,NA,NA
01/09/2017,RXQ,Buckinghamshire Healthcare,NA,NA
01/09/2017,RXR,East Lancashire Hospitals,NA,NA
01/09/2017,RXT,Birmingham And Solihull Mental Health,648,619
01/09/2017,RXW,Shrewsbury And Telford Hospital,NA,NA
01/09/2017,RXX,Surrey And Borders Partnership,201,186
01/09/2017,RXY,Kent And Medway NHS And Social Care Partnership Trust,487,434
01/09/2017,RY3,Norfolk Community Health And Care,NA,NA
01/09/2017,RY5,Lincolnshire Community Health Services,NA,NA
01/09/2017,RY6,Leeds Community Healthcare,8,7
01/09/2017,RY8,Derbyshire Community Health Services,48,40
01/09/2017,RYG,Coventry And Warwickshire Partnership,235,208
01/09/2017,RYJ,Imperial College Healthcare,NA,NA
01/09/2017,RYK,Dudley And Walsall Mental Health Partnership,177,143
01/09/2017,RYR,Western Sussex Hospitals,NA,NA
01/09/2017,RYV,Cambridgeshire Community Services,NA,NA
01/09/2017,RYW,Birmingham Community Healthcare,NA,NA
01/09/2017,RYX,Central London Community Healthcare,NA,NA
01/09/2017,TAD,Bradford District Care,200,167
01/09/2017,TAF,Camden And Islington,182,171
01/09/2017,TAH,Sheffield Health & Social Care,150,130
01/09/2017,TAJ,Black Country Partnership,156,126
01/12/2017,R0A,Manchester University,13,11
01/12/2017,R1A,Worcestershire Health And Care,119,103
01/12/2017,R1C,Solent,66,51
01/12/2017,R1E,Staffordshire And Stoke On Trent Partnership,NA,NA
01/12/2017,R1F,Isle Of Wight,47,38
01/12/2017,R1H,Barts Health,NA,NA
01/12/2017,R1J,Gloucestershire Care Services,NA,NA
01/12/2017,R1K,London North West University Healthcare,NA,NA
01/12/2017,R1L,Essex Partnership University,691,634
01/12/2017,RA2,Royal Surrey County Hospital,NA,NA
01/12/2017,RA3,Weston Area Health,NA,NA
01/12/2017,RA4,Yeovil District Hospital,NA,NA
01/12/2017,RA7,University Hospitals Bristol,NA,NA
01/12/2017,RA9,Torbay And South Devon,NA,NA
01/12/2017,RAE,Bradford Teaching Hospitals,NA,NA
01/12/2017,RAJ,Southend University Hospital,NA,NA
01/12/2017,RAL,Royal Free London,6,1
01/12/2017,RAN,Royal National Orthopaedic Hospital,NA,NA
01/12/2017,RAP,North Middlesex University Hospital,NA,NA
01/12/2017,RAS,The Hillingdon Hospitals,NA,NA
01/12/2017,RAT,North East London,196,170
01/12/2017,RAX,Kingston Hospital,NA,NA
01/12/2017,RBA,Taunton And Somerset,NA,NA
01/12/2017,RBD,Dorset County Hospital,NA,NA
01/12/2017,RBK,Walsall Healthcare,NA,NA
01/12/2017,RBL,Wirral University Teaching Hospital,NA,NA
01/12/2017,RBN,St Helens And Knowsley Hospital Services,NA,NA
01/12/2017,RBQ,Liverpool Heart And Chest Hospital,NA,NA
01/12/2017,RBS,Alder Hey Children's,7,6
01/12/2017,RBT,Mid Cheshire Hospitals,NA,NA
01/12/2017,RBV,The Christie,NA,NA
01/12/2017,RBZ,Northern Devon Healthcare,NA,NA
01/12/2017,RC1,Bedford Hospital,NA,NA
01/12/2017,RC9,Luton And Dunstable University Hospital,NA,NA
01/12/2017,RCB,York Teaching Hospital,NA,NA
01/12/2017,RCD,Harrogate And District,NA,NA
01/12/2017,RCF,Airedale,NA,NA
01/12/2017,RCU,Sheffield Children's,25,13
01/12/2017,RCX,"The Queen Elizabeth Hospital, King's Lynn,",NA,NA
01/12/2017,RD1,Royal United Hospitals Bath,NA,NA
01/12/2017,RD3,Poole Hospital,NA,NA
01/12/2017,RD8,Milton Keynes University Hospital,NA,NA
01/12/2017,RDD,Basildon And Thurrock University Hospitals,NA,NA
01/12/2017,RDE,Colchester Hospital University,NA,NA
01/12/2017,RDR,Sussex Community,NA,NA
01/12/2017,RDU,Frimley Health,NA,NA
01/12/2017,RDY,Dorset Healthcare University,229,211
01/12/2017,RDZ,The Royal Bournemouth And Christchurch Hospitals,NA,NA
01/12/2017,RE9,South Tyneside,NA,NA
01/12/2017,REF,Royal Cornwall Hospitals,NA,NA
01/12/2017,REM,Aintree University Hospital,NA,NA
01/12/2017,REN,The Clatterbridge Cancer Centre,NA,NA
01/12/2017,REP,Liverpool Women's,NA,NA
01/12/2017,RET,The Walton Centre,NA,NA
01/12/2017,RF4,"Barking, Havering And Redbridge University Hospitals",NA,NA
01/12/2017,RFF,Barnsley Hospital,NA,NA
01/12/2017,RFR,The Rotherham,NA,NA
01/12/2017,RFS,Chesterfield Royal Hospital,NA,NA
01/12/2017,RGD,Leeds And York Partnership,381,350
01/12/2017,RGM,Royal Papworth Hospital,NA,NA
01/12/2017,RGN,North West Anglia,NA,NA
01/12/2017,RGP,James Paget University Hospitals,NA,NA
01/12/2017,RGQ,Ipswich Hospital,NA,NA
01/12/2017,RGR,West Suffolk,NA,NA
01/12/2017,RGT,Cambridge University Hospitals,NA,NA
01/12/2017,RH5,Somerset Partnership,136,117
01/12/2017,RH8,Royal Devon And Exeter,NA,NA
01/12/2017,RHA,Nottinghamshire Healthcare,847,781
01/12/2017,RHM,University Hospital Southampton,NA,NA
01/12/2017,RHQ,Sheffield Teaching Hospitals,NA,NA
01/12/2017,RHU,Portsmouth Hospitals,NA,NA
01/12/2017,RHW,Royal Berkshire,NA,NA
01/12/2017,RJ1,Guy's And St Thomas',NA,NA
01/12/2017,RJ2,Lewisham And Greenwich,NA,NA
01/12/2017,RJ6,Croydon Health Services,NA,NA
01/12/2017,RJ7,St George's University Hospitals,NA,NA
01/12/2017,RJ8,Cornwall Partnership,108,102
01/12/2017,RJC,South Warwickshire,NA,NA
01/12/2017,RJE,University Hospitals Of North Midlands,NA,NA
01/12/2017,RJF,Burton Hospitals,NA,NA
01/12/2017,RJL,Northern Lincolnshire And Goole,NA,NA
01/12/2017,RJN,East Cheshire,NA,NA
01/12/2017,RJR,Countess Of Chester Hospital,NA,NA
01/12/2017,RJZ,King's College Hospital,NA,NA
01/12/2017,RK5,Sherwood Forest Hospitals,NA,NA
01/12/2017,RK9,Plymouth Hospitals,NA,NA
01/12/2017,RKB,University Hospitals Coventry And Warwickshire,NA,NA
01/12/2017,RKE,Whittington Health,12,11
01/12/2017,RKL,West London Mental Health,742,651
01/12/2017,RL1,The Robert Jones And Agnes Hunt Orthopaedic Hospital,NA,NA
01/12/2017,RL4,The Royal Wolverhampton,NA,NA
01/12/2017,RLN,City Hospitals Sunderland,NA,NA
01/12/2017,RLQ,Wye Valley,NA,NA
01/12/2017,RLT,George Eliot Hospital,NA,NA
01/12/2017,RLY,North Staffordshire Combined Healthcare,172,155
01/12/2017,RM1,Norfolk And Norwich University Hospitals,NA,NA
01/12/2017,RM3,Salford Royal,NA,NA
01/12/2017,RMC,Bolton,NA,NA
01/12/2017,RMP,Tameside And Glossop Integrated Care,NA,NA
01/12/2017,RMY,Norfolk And Suffolk,404,345
01/12/2017,RN3,Great Western Hospitals,NA,NA
01/12/2017,RN5,Hampshire Hospitals,NA,NA
01/12/2017,RN7,Dartford And Gravesham,NA,NA
01/12/2017,RNA,The Dudley Group,NA,NA
01/12/2017,RNL,North Cumbria University Hospitals,NA,NA
01/12/2017,RNN,Cumbria Partnership,139,116
01/12/2017,RNQ,Kettering General Hospital,NA,NA
01/12/2017,RNS,Northampton General Hospital,NA,NA
01/12/2017,RNU,Oxford Health,395,340
01/12/2017,RNZ,Salisbury,NA,NA
01/12/2017,RP1,Northamptonshire Healthcare,195,178
01/12/2017,RP4,Great Ormond Street Hospital For Children,7,6
01/12/2017,RP5,Doncaster And Bassetlaw Teaching Hospitals,NA,NA
01/12/2017,RP6,Moorfields Eye Hospital,NA,NA
01/12/2017,RP7,Lincolnshire Partnership,247,215
01/12/2017,RPA,Medway,NA,NA
01/12/2017,RPC,Queen Victoria Hospital,NA,NA
01/12/2017,RPG,Oxleas,383,371
01/12/2017,RPY,The Royal Marsden,NA,NA
01/12/2017,RQ3,Birmingham Women's And Children's,34,30
01/12/2017,RQ6,Royal Liverpool And Broadgreen University Hospitals,NA,NA
01/12/2017,RQ8,Mid Essex Hospital Services,NA,NA
01/12/2017,RQM,Chelsea And Westminster Hospital,NA,NA
01/12/2017,RQW,The Princess Alexandra Hospital,NA,NA
01/12/2017,RQX,Homerton University Hospital,NA,NA
01/12/2017,RQY,South West London And St George's Mental Health,407,363
01/12/2017,RR1,Heart Of England,NA,NA
01/12/2017,RR7,Gateshead Health,34,27
01/12/2017,RR8,Leeds Teaching Hospitals,NA,NA
01/12/2017,RRE,South Staffordshire And Shropshire Healthcare,312,258
01/12/2017,RRF,"Wrightington, Wigan And Leigh",NA,NA
01/12/2017,RRJ,The Royal Orthopaedic Hospital,NA,NA
01/12/2017,RRK,University Hospitals Birmingham,NA,NA
01/12/2017,RRP,"Barnet, Enfield And Haringey Mental Health",471,461
01/12/2017,RRV,University College London Hospitals,12,8
01/12/2017,RT1,Cambridgeshire And Peterborough,226,192
01/12/2017,RT2,Pennine Care,540,464
01/12/2017,RT3,Royal Brompton & Harefield,NA,NA
01/12/2017,RTD,The Newcastle Upon Tyne Hospitals,NA,NA
01/12/2017,RTE,Gloucestershire Hospitals,NA,NA
01/12/2017,RTF,Northumbria Healthcare,42,14
01/12/2017,RTG,Derby Teaching Hospitals,NA,NA
01/12/2017,RTH,Oxford University Hospitals,NA,NA
01/12/2017,RTK,Ashford And St Peter's Hospitals,NA,NA
01/12/2017,RTP,Surrey And Sussex Healthcare,NA,NA
01/12/2017,RTQ,2gether,207,179
01/12/2017,RTR,South Tees Hospitals,NA,NA
01/12/2017,RTV,North West Boroughs Healthcare,304,271
01/12/2017,RTX,University Hospitals Of Morecambe Bay,NA,NA
01/12/2017,RV3,Central And North West London,750,706
01/12/2017,RV9,Humber,194,151
01/12/2017,RVJ,North Bristol,12,5
01/12/2017,RVN,Avon And Wiltshire Mental Health Partnership,528,455
01/12/2017,RVR,Epsom And St Helier University Hospitals,NA,NA
01/12/2017,RVV,East Kent Hospitals University,NA,NA
01/12/2017,RVW,North Tees And Hartlepool,NA,NA
01/12/2017,RVY,Southport And Ormskirk Hospital,NA,NA
01/12/2017,RW1,Southern Health,517,401
01/12/2017,RW4,Mersey Care,607,540
01/12/2017,RW5,Lancashire Care,516,490
01/12/2017,RW6,Pennine Acute Hospitals,NA,NA
01/12/2017,RWA,Hull And East Yorkshire Hospitals,NA,NA
01/12/2017,RWD,United Lincolnshire Hospitals,NA,NA
01/12/2017,RWE,University Hospitals Of Leicester,NA,NA
01/12/2017,RWF,Maidstone And Tunbridge Wells,NA,NA
01/12/2017,RWG,West Hertfordshire Hospitals,NA,NA
01/12/2017,RWH,East And North Hertfordshire,NA,NA
01/12/2017,RWJ,Stockport,NA,NA
01/12/2017,RWK,East London,870,747
01/12/2017,RWP,Worcestershire Acute Hospitals,NA,NA
01/12/2017,RWV,Devon Partnership,277,271
01/12/2017,RWW,Warrington And Halton Hospitals,NA,NA
01/12/2017,RWX,Berkshire Healthcare,148,128
01/12/2017,RWY,Calderdale And Huddersfield,NA,NA
01/12/2017,RX1,Nottingham University Hospitals,NA,NA
01/12/2017,RX2,Sussex Partnership,578,556
01/12/2017,RX3,"Tees, Esk And Wear Valleys",750,647
01/12/2017,RX4,"Northumberland, Tyne And Wear",607,523
01/12/2017,RXA,Cheshire And Wirral Partnership,268,248
01/12/2017,RXC,East Sussex Healthcare,NA,NA
01/12/2017,RXE,Rotherham Doncaster And South Humber,294,227
01/12/2017,RXF,Mid Yorkshire Hospitals,NA,NA
01/12/2017,RXG,South West Yorkshire Partnership,433,358
01/12/2017,RXH,Brighton And Sussex University Hospitals,NA,NA
01/12/2017,RXK,Sandwell And West Birmingham Hospitals,NA,NA
01/12/2017,RXL,Blackpool Teaching Hospitals,NA,NA
01/12/2017,RXM,Derbyshire Healthcare,271,232
01/12/2017,RXN,Lancashire Teaching Hospitals,NA,NA
01/12/2017,RXP,County Durham And Darlington,NA,NA
01/12/2017,RXQ,Buckinghamshire Healthcare,NA,NA
01/12/2017,RXR,East Lancashire Hospitals,NA,NA
01/12/2017,RXT,Birmingham And Solihull Mental Health,654,623
01/12/2017,RXW,Shrewsbury And Telford Hospital,NA,NA
01/12/2017,RXX,Surrey And Borders Partnership,202,169
01/12/2017,RXY,Kent And Medway NHS And Social Care Partnership Trust,480,422
01/12/2017,RY3,Norfolk Community Health And Care,NA,NA
01/12/2017,RY5,Lincolnshire Community Health Services,NA,NA
01/12/2017,RY6,Leeds Community Healthcare,8,7
01/12/2017,RY8,Derbyshire Community Health Services,40,30
01/12/2017,RYG,Coventry And Warwickshire Partnership,237,212
01/12/2017,RYJ,Imperial College Healthcare,NA,NA
01/12/2017,RYK,Dudley And Walsall Mental Health Partnership,175,149
01/12/2017,RYR,Western Sussex Hospitals,NA,NA
01/12/2017,RYV,Cambridgeshire Community Services,NA,NA
01/12/2017,RYW,Birmingham Community Healthcare,NA,NA
01/12/2017,RYX,Central London Community Healthcare,NA,NA
01/12/2017,TAD,Bradford District Care,200,172
01/12/2017,TAF,Camden And Islington,184,171
01/12/2017,TAH,Sheffield Health & Social Care,150,139
01/12/2017,TAJ,Black Country Partnership,156,125
01/03/2018,R0A,Manchester University,13,11
01/03/2018,R1A,Worcestershire Health And Care,119,102
01/03/2018,R1C,Solent,66,57
01/03/2018,R1E,Staffordshire And Stoke On Trent Partnership,NA,NA
01/03/2018,R1F,Isle Of Wight,46,37
01/03/2018,R1H,Barts Health,NA,NA
01/03/2018,R1J,Gloucestershire Care Services,NA,NA
01/03/2018,R1K,London North West University Healthcare,NA,NA
01/03/2018,R1L,Essex Partnership University,611,580
01/03/2018,RA2,Royal Surrey County Hospital,NA,NA
01/03/2018,RA3,Weston Area Health,NA,NA
01/03/2018,RA4,Yeovil District Hospital,NA,NA
01/03/2018,RA7,University Hospitals Bristol,NA,NA
01/03/2018,RA9,Torbay And South Devon,NA,NA
01/03/2018,RAE,Bradford Teaching Hospitals,NA,NA
01/03/2018,RAJ,Southend University Hospital,NA,NA
01/03/2018,RAL,Royal Free London,6,2
01/03/2018,RAN,Royal National Orthopaedic Hospital,NA,NA
01/03/2018,RAP,North Middlesex University Hospital,NA,NA
01/03/2018,RAS,The Hillingdon Hospitals,NA,NA
01/03/2018,RAT,North East London,196,172
01/03/2018,RAX,Kingston Hospital,NA,NA
01/03/2018,RBA,Taunton And Somerset,NA,NA
01/03/2018,RBD,Dorset County Hospital,NA,NA
01/03/2018,RBK,Walsall Healthcare,NA,NA
01/03/2018,RBL,Wirral University Teaching Hospital,NA,NA
01/03/2018,RBN,St Helens And Knowsley Hospital Services,NA,NA
01/03/2018,RBQ,Liverpool Heart And Chest Hospital,NA,NA
01/03/2018,RBS,Alder Hey Children's,7,4
01/03/2018,RBT,Mid Cheshire Hospitals,NA,NA
01/03/2018,RBV,The Christie,NA,NA
01/03/2018,RBZ,Northern Devon Healthcare,NA,NA
01/03/2018,RC1,Bedford Hospital,NA,NA
01/03/2018,RC9,Luton And Dunstable University Hospital,NA,NA
01/03/2018,RCB,York Teaching Hospital,NA,NA
01/03/2018,RCD,Harrogate And District,NA,NA
01/03/2018,RCF,Airedale,NA,NA
01/03/2018,RCU,Sheffield Children's,25,16
01/03/2018,RCX,"The Queen Elizabeth Hospital, King's Lynn,",NA,NA
01/03/2018,RD1,Royal United Hospitals Bath,NA,NA
01/03/2018,RD3,Poole Hospital,NA,NA
01/03/2018,RD8,Milton Keynes University Hospital,NA,NA
01/03/2018,RDD,Basildon And Thurrock University Hospitals,NA,NA
01/03/2018,RDE,Colchester Hospital University,NA,NA
01/03/2018,RDR,Sussex Community,NA,NA
01/03/2018,RDU,Frimley Health,NA,NA
01/03/2018,RDY,Dorset Healthcare University,232,210
01/03/2018,RDZ,The Royal Bournemouth And Christchurch Hospitals,NA,NA
01/03/2018,RE9,South Tyneside,NA,NA
01/03/2018,REF,Royal Cornwall Hospitals,NA,NA
01/03/2018,REM,Aintree University Hospital,NA,NA
01/03/2018,REN,The Clatterbridge Cancer Centre,NA,NA
01/03/2018,REP,Liverpool Women's,NA,NA
01/03/2018,RET,The Walton Centre,NA,NA
01/03/2018,RF4,"Barking, Havering And Redbridge University Hospitals",NA,NA
